,state,year,prisoner_count,state_population,year_state
665,ALASKA,2014.0,6323.0,736732,2014_ALASKA
666,ARIZONA,2014.0,42136.0,6731484,2014_ARIZONA
667,ARKANSAS,2014.0,15250.0,2966369,2014_ARKANSAS
668,CALIFORNIA,2014.0,134430.0,38802500,2014_CALIFORNIA
669,COLORADO,2014.0,20469.0,5355866,2014_COLORADO
670,CONNECTICUT,2014.0,16814.0,3596677,2014_CONNECTICUT
671,DELAWARE,2014.0,6730.0,935614,2014_DELAWARE
672,FLORIDA,2014.0,100873.0,19893297,2014_FLORIDA
673,GEORGIA,2014.0,52719.0,10097343,2014_GEORGIA
674,HAWAII,2014.0,5390.0,1419561,2014_HAWAII
675,IDAHO,2014.0,7497.0,1634464,2014_IDAHO
676,ILLINOIS,2014.0,48278.0,12880580,2014_ILLINOIS
677,INDIANA,2014.0,32493.0,6596855,2014_INDIANA
678,IOWA,2014.0,8845.0,3107126,2014_IOWA
679,KANSAS,2014.0,9539.0,2904021,2014_KANSAS
680,KENTUCKY,2014.0,12114.0,4413457,2014_KENTUCKY
681,LOUISIANA,2014.0,18710.0,4649676,2014_LOUISIANA
682,MAINE,2014.0,2199.0,1330089,2014_MAINE
683,MARYLAND,2014.0,21266.0,5976407,2014_MARYLAND
684,MASSACHUSETTS,2014.0,10447.0,6745408,2014_MASSACHUSETTS
685,MICHIGAN,2014.0,43359.0,9909877,2014_MICHIGAN
686,MINNESOTA,2014.0,9576.0,5457173,2014_MINNESOTA
687,MISSISSIPPI,2014.0,13069.0,2994079,2014_MISSISSIPPI
688,MISSOURI,2014.0,31903.0,6063589,2014_MISSOURI
689,MONTANA,2014.0,3119.0,1023579,2014_MONTANA
690,NEBRASKA,2014.0,5228.0,1881503,2014_NEBRASKA
691,NEVADA,2014.0,12693.0,2839099,2014_NEVADA
692,NEW HAMPSHIRE,2014.0,2723.0,1326813,2014_NEW HAMPSHIRE
693,NEW JERSEY,2014.0,21394.0,8938175,2014_NEW JERSEY
694,NEW MEXICO,2014.0,6948.0,2085572,2014_NEW MEXICO
695,NEW YORK,2014.0,52362.0,19746227,2014_NEW YORK
696,NORTH CAROLINA,2014.0,37348.0,9943964,2014_NORTH CAROLINA
697,NORTH DAKOTA,2014.0,1696.0,739482,2014_NORTH DAKOTA
698,OHIO,2014.0,51521.0,11594163,2014_OHIO
699,OKLAHOMA,2014.0,26493.0,3878051,2014_OKLAHOMA
700,OREGON,2014.0,14492.0,3970239,2014_OREGON
701,PENNSYLVANIA,2014.0,49174.0,12787209,2014_PENNSYLVANIA
702,RHODE ISLAND,2014.0,3133.0,1055173,2014_RHODE ISLAND
703,SOUTH CAROLINA,2014.0,20948.0,4832482,2014_SOUTH CAROLINA
704,SOUTH DAKOTA,2014.0,3507.0,853175,2014_SOUTH DAKOTA
705,TENNESSEE,2014.0,20815.0,6549352,2014_TENNESSEE
706,TEXAS,2014.0,154247.0,26956958,2014_TEXAS
707,UTAH,2014.0,5307.0,2942902,2014_UTAH
708,VERMONT,2014.0,1979.0,626562,2014_VERMONT
709,VIRGINIA,2014.0,30050.0,8326289,2014_VIRGINIA
710,WASHINGTON,2014.0,17180.0,7061530,2014_WASHINGTON
711,WEST VIRGINIA,2014.0,5867.0,1850326,2014_WEST VIRGINIA
712,WISCONSIN,2014.0,22572.0,5757564,2014_WISCONSIN
713,WYOMING,2014.0,2369.0,584153,2014_WYOMING
715,ALABAMA,2015.0,25212.0,4858979,2015_ALABAMA
716,ALASKA,2015.0,5247.0,738432,2015_ALASKA
717,ARIZONA,2015.0,42204.0,6828065,2015_ARIZONA
718,ARKANSAS,2015.0,15784.0,2978204,2015_ARKANSAS
719,CALIFORNIA,2015.0,127815.0,39144818,2015_CALIFORNIA
720,COLORADO,2015.0,19959.0,5456574,2015_COLORADO
721,CONNECTICUT,2015.0,16024.0,3590886,2015_CONNECTICUT
722,DELAWARE,2015.0,6437.0,945934,2015_DELAWARE
723,FLORIDA,2015.0,99485.0,20271272,2015_FLORIDA
724,GEORGIA,2015.0,52002.0,10214860,2015_GEORGIA
725,HAWAII,2015.0,5413.0,1431603,2015_HAWAII
726,IDAHO,2015.0,7238.0,1654930,2015_IDAHO
727,ILLINOIS,2015.0,46240.0,12859995,2015_ILLINOIS
728,INDIANA,2015.0,26586.0,6619680,2015_INDIANA
729,IOWA,2015.0,8864.0,3123899,2015_IOWA
730,KANSAS,2015.0,9533.0,2911641,2015_KANSAS
731,KENTUCKY,2015.0,11959.0,4425092,2015_KENTUCKY
732,LOUISIANA,2015.0,18447.0,4670724,2015_LOUISIANA
733,MAINE,2015.0,2190.0,1329328,2015_MAINE
734,MARYLAND,2015.0,20951.0,6006401,2015_MARYLAND
735,MASSACHUSETTS,2015.0,9493.0,6794422,2015_MASSACHUSETTS
736,MICHIGAN,2015.0,42628.0,9922576,2015_MICHIGAN
737,MINNESOTA,2015.0,9578.0,5489594,2015_MINNESOTA
738,MISSISSIPPI,2015.0,13967.0,2992333,2015_MISSISSIPPI
739,MISSOURI,2015.0,32295.0,6083672,2015_MISSOURI
740,MONTANA,2015.0,3176.0,1032949,2015_MONTANA
741,NEBRASKA,2015.0,5133.0,1896190,2015_NEBRASKA
742,NEVADA,2015.0,13235.0,2890845,2015_NEVADA
743,NEW HAMPSHIRE,2015.0,2661.0,1330608,2015_NEW HAMPSHIRE
744,NEW JERSEY,2015.0,20294.0,8958013,2015_NEW JERSEY
745,NEW MEXICO,2015.0,7104.0,2085109,2015_NEW MEXICO
746,NEW YORK,2015.0,51485.0,19795791,2015_NEW YORK
747,NORTH CAROLINA,2015.0,36888.0,10042802,2015_NORTH CAROLINA
748,NORTH DAKOTA,2015.0,1772.0,756927,2015_NORTH DAKOTA
749,OHIO,2015.0,52240.0,11613423,2015_OHIO
750,OKLAHOMA,2015.0,27321.0,3911338,2015_OKLAHOMA
751,OREGON,2015.0,14655.0,4028977,2015_OREGON
752,PENNSYLVANIA,2015.0,48846.0,12802503,2015_PENNSYLVANIA
753,RHODE ISLAND,2015.0,2982.0,1056298,2015_RHODE ISLAND
754,SOUTH CAROLINA,2015.0,20457.0,4896146,2015_SOUTH CAROLINA
755,SOUTH DAKOTA,2015.0,3536.0,858469,2015_SOUTH DAKOTA
756,TENNESSEE,2015.0,19800.0,6600299,2015_TENNESSEE
757,TEXAS,2015.0,152492.0,27469114,2015_TEXAS
758,UTAH,2015.0,4831.0,2995919,2015_UTAH
759,VERMONT,2015.0,1750.0,626042,2015_VERMONT
760,VIRGINIA,2015.0,30430.0,8382993,2015_VIRGINIA
761,WASHINGTON,2015.0,17222.0,7170351,2015_WASHINGTON
762,WEST VIRGINIA,2015.0,5925.0,1844128,2015_WEST VIRGINIA
763,WISCONSIN,2015.0,22914.0,5771337,2015_WISCONSIN
764,WYOMING,2015.0,2400.0,586107,2015_WYOMING
766,ALABAMA,2016.0,23745.0,4860545,2016_ALABAMA
767,ALASKA,2016.0,4378.0,741522,2016_ALASKA
768,ARIZONA,2016.0,42248.0,6908642,2016_ARIZONA
769,ARKANSAS,2016.0,15833.0,2988231,2016_ARKANSAS
770,CALIFORNIA,2016.0,129416.0,39296476,2016_CALIFORNIA
771,COLORADO,2016.0,19486.0,5530105,2016_COLORADO
772,CONNECTICUT,2016.0,15040.0,3587685,2016_CONNECTICUT
773,DELAWARE,2016.0,6334.0,952698,2016_DELAWARE
774,FLORIDA,2016.0,98010.0,20656589,2016_FLORIDA
775,GEORGIA,2016.0,53433.0,10313620,2016_GEORGIA
776,HAWAII,2016.0,5182.0,1428683,2016_HAWAII
777,IDAHO,2016.0,7221.0,1680026,2016_IDAHO
778,ILLINOIS,2016.0,43616.0,12835726,2016_ILLINOIS
779,INDIANA,2016.0,25143.0,6634007,2016_INDIANA
780,IOWA,2016.0,9049.0,3130869,2016_IOWA
781,KANSAS,2016.0,9653.0,2907731,2016_KANSAS
782,KENTUCKY,2016.0,11867.0,4436113,2016_KENTUCKY
783,LOUISIANA,2016.0,15059.0,4686157,2016_LOUISIANA
784,MAINE,2016.0,2356.0,1330232,2016_MAINE
785,MARYLAND,2016.0,20236.0,6024752,2016_MARYLAND
786,MASSACHUSETTS,2016.0,9038.0,6823721,2016_MASSACHUSETTS
787,MICHIGAN,2016.0,41122.0,9933445,2016_MICHIGAN
788,MINNESOTA,2016.0,9509.0,5525050,2016_MINNESOTA
789,MISSISSIPPI,2016.0,13720.0,2985415,2016_MISSISSIPPI
790,MISSOURI,2016.0,32427.0,6091176,2016_MISSOURI
791,MONTANA,2016.0,3199.0,1038656,2016_MONTANA
792,NEBRASKA,2016.0,5167.0,1907603,2016_NEBRASKA
793,NEVADA,2016.0,13932.0,2939254,2016_NEVADA
794,NEW HAMPSHIRE,2016.0,2599.0,1335015,2016_NEW HAMPSHIRE
795,NEW JERSEY,2016.0,19458.0,8978416,2016_NEW JERSEY
796,NEW MEXICO,2016.0,6996.0,2085432,2016_NEW MEXICO
797,NEW YORK,2016.0,50611.0,19836286,2016_NEW YORK
798,NORTH CAROLINA,2016.0,35970.0,10156689,2016_NORTH CAROLINA
799,NORTH DAKOTA,2016.0,1639.0,755548,2016_NORTH DAKOTA
800,OHIO,2016.0,52172.0,11622554,2016_OHIO
801,OKLAHOMA,2016.0,26367.0,3921207,2016_OKLAHOMA
802,OREGON,2016.0,14579.0,4085989,2016_OREGON
803,PENNSYLVANIA,2016.0,48287.0,12787085,2016_PENNSYLVANIA
804,RHODE ISLAND,2016.0,2887.0,1057566,2016_RHODE ISLAND
805,SOUTH CAROLINA,2016.0,20376.0,4959822,2016_SOUTH CAROLINA
806,SOUTH DAKOTA,2016.0,3770.0,861542,2016_SOUTH DAKOTA
807,TENNESSEE,2016.0,21539.0,6649404,2016_TENNESSEE
808,TEXAS,2016.0,151276.0,27904862,2016_TEXAS
809,UTAH,2016.0,4502.0,3044321,2016_UTAH
810,VERMONT,2016.0,1735.0,623354,2016_VERMONT
811,VIRGINIA,2016.0,29882.0,8414380,2016_VIRGINIA
812,WASHINGTON,2016.0,17228.0,7280934,2016_WASHINGTON
813,WEST VIRGINIA,2016.0,5899.0,1828637,2016_WEST VIRGINIA
814,WISCONSIN,2016.0,23163.0,5772917,2016_WISCONSIN
815,WYOMING,2016.0,2352.0,584910,2016_WYOMING
