,year_state,state,year,enrollment,total_expenditure
818,2008_ARIZONA,ARIZONA,2008,987332,9581201
819,2008_ARKANSAS,ARKANSAS,2008,476110,4720720
820,2008_CALIFORNIA,CALIFORNIA,2008,6258421,76618865
821,2008_COLORADO,COLORADO,2008,796824,8884786
822,2008_CONNECTICUT,CONNECTICUT,2008,544417,9046750
823,2008_DELAWARE,DELAWARE,2008,114062,1746925
826,2008_FLORIDA,FLORIDA,2008,2645680,31219589
827,2008_GEORGIA,GEORGIA,2008,1646010,19172087
828,2008_HAWAII,HAWAII,2008,179897,2242408
829,2008_IDAHO,IDAHO,2008,265844,2001328
830,2008_ILLINOIS,ILLINOIS,2008,2099118,25696866
831,2008_INDIANA,INDIANA,2008,1033329,10865851
832,2008_IOWA,IOWA,2008,485114,5495756
833,2008_KANSAS,KANSAS,2008,467743,5122049
834,2008_KENTUCKY,KENTUCKY,2008,666019,6793215
835,2008_LOUISIANA,LOUISIANA,2008,662971,7599993
836,2008_MAINE,MAINE,2008,193058,2582293
837,2008_MARYLAND,MARYLAND,2008,845700,12739693
838,2008_MASSACHUSETTS,MASSACHUSETTS,2008,937677,14631545
839,2008_MICHIGAN,MICHIGAN,2008,1661936,20703780
840,2008_MINNESOTA,MINNESOTA,2008,807929,10462624
841,2008_MISSISSIPPI,MISSISSIPPI,2008,493302,4363308
842,2008_MISSOURI,MISSOURI,2008,898350,9900419
843,2008_MONTANA,MONTANA,2008,142695,1557678
844,2008_NEBRASKA,NEBRASKA,2008,290912,3325663
845,2008_NEVADA,NEVADA,2008,428776,4881218
846,2008_NEW HAMPSHIRE,NEW HAMPSHIRE,2008,195668,2715961
847,2008_NEW JERSEY,NEW JERSEY,2008,1353191,26168480
848,2008_NEW MEXICO,NEW MEXICO,2008,329045,3599724
849,2008_NEW YORK,NEW YORK,2008,2727552,54870811
850,2008_NORTH CAROLINA,NORTH CAROLINA,2008,1408316,13731201
851,2008_NORTH DAKOTA,NORTH DAKOTA,2008,94959,1085970
852,2008_OHIO,OHIO,2008,1743920,21951104
853,2008_OKLAHOMA,OKLAHOMA,2008,641682,5667749
854,2008_OREGON,OREGON,2008,562632,6407512
855,2008_PENNSYLVANIA,PENNSYLVANIA,2008,1718588,26597713
856,2008_RHODE ISLAND,RHODE ISLAND,2008,143812,2175172
857,2008_SOUTH CAROLINA,SOUTH CAROLINA,2008,710685,8167262
858,2008_SOUTH DAKOTA,SOUTH DAKOTA,2008,121606,1172715
859,2008_TENNESSEE,TENNESSEE,2008,966963,8488521
860,2008_TEXAS,TEXAS,2008,4581517,50205827
861,2008_UTAH,UTAH,2008,556314,4337917
862,2008_VERMONT,VERMONT,2008,87919,1888133
863,2008_VIRGINIA,VIRGINIA,2008,1230857,15236306
866,2008_WASHINGTON,WASHINGTON,2008,1029576,11677666
867,2008_WEST VIRGINIA,WEST VIRGINIA,2008,281735,3068910
868,2008_WISCONSIN,WISCONSIN,2008,867929,10545964
869,2008_WYOMING,WYOMING,2008,85991,1517325
870,2009_ALABAMA,ALABAMA,2009,745668,7815467
871,2009_ALASKA,ALASKA,2009,130236,2396412
872,2009_ARIZONA,ARIZONA,2009,981303,9580393
873,2009_ARKANSAS,ARKANSAS,2009,474423,5017352
874,2009_CALIFORNIA,CALIFORNIA,2009,6234155,74766086
875,2009_COLORADO,COLORADO,2009,812068,8682489
876,2009_CONNECTICUT,CONNECTICUT,2009,539250,9323053
877,2009_DELAWARE,DELAWARE,2009,116804,1798244
880,2009_FLORIDA,FLORIDA,2009,2623067,28867429
881,2009_GEORGIA,GEORGIA,2009,1649598,19025136
882,2009_HAWAII,HAWAII,2009,179478,2318671
883,2009_IDAHO,IDAHO,2009,267951,2078446
884,2009_ILLINOIS,ILLINOIS,2009,2117291,27716187
885,2009_INDIANA,INDIANA,2009,1028259,11218398
886,2009_IOWA,IOWA,2009,487559,5732186
887,2009_KANSAS,KANSAS,2009,470445,5827751
888,2009_KENTUCKY,KENTUCKY,2009,669858,6831006
889,2009_LOUISIANA,LOUISIANA,2009,662774,8053960
890,2009_MAINE,MAINE,2009,187372,2624504
891,2009_MARYLAND,MARYLAND,2009,843781,12757599
892,2009_MASSACHUSETTS,MASSACHUSETTS,2009,932437,15174814
893,2009_MICHIGAN,MICHIGAN,2009,1537515,19992550
894,2009_MINNESOTA,MINNESOTA,2009,800831,11193640
895,2009_MISSISSIPPI,MISSISSIPPI,2009,491194,4552756
896,2009_MISSOURI,MISSOURI,2009,893807,10227305
897,2009_MONTANA,MONTANA,2009,141782,1622485
898,2009_NEBRASKA,NEBRASKA,2009,292161,3523803
899,2009_NEVADA,NEVADA,2009,430985,4577881
900,2009_NEW HAMPSHIRE,NEW HAMPSHIRE,2009,197024,2757401
901,2009_NEW JERSEY,NEW JERSEY,2009,1354912,26145334
902,2009_NEW MEXICO,NEW MEXICO,2009,328737,3945515
903,2009_NEW YORK,NEW YORK,2009,2696688,57851481
904,2009_NORTH CAROLINA,NORTH CAROLINA,2009,1452064,14868070
905,2009_NORTH DAKOTA,NORTH DAKOTA,2009,94653,1137260
906,2009_OHIO,OHIO,2009,1729072,22427481
907,2009_OKLAHOMA,OKLAHOMA,2009,644549,5941799
908,2009_OREGON,OREGON,2009,560726,6715011
909,2009_PENNSYLVANIA,PENNSYLVANIA,2009,1687145,27328680
910,2009_RHODE ISLAND,RHODE ISLAND,2009,141521,2171376
911,2009_SOUTH CAROLINA,SOUTH CAROLINA,2009,714290,8427391
912,2009_SOUTH DAKOTA,SOUTH DAKOTA,2009,126624,1273527
913,2009_TENNESSEE,TENNESSEE,2009,971484,8611178
914,2009_TEXAS,TEXAS,2009,4647205,53575273
915,2009_UTAH,UTAH,2009,532433,4419750
916,2009_VERMONT,VERMONT,2009,86320,1661019
917,2009_VIRGINIA,VIRGINIA,2009,1235064,15510318
918,2009_WASHINGTON,WASHINGTON,2009,1035907,12240632
919,2009_WEST VIRGINIA,WEST VIRGINIA,2009,281908,3121728
920,2009_WISCONSIN,WISCONSIN,2009,867035,10880480
921,2009_WYOMING,WYOMING,2009,86971,1658156
922,2010_ALABAMA,ALABAMA,2010,748889,7647571
923,2010_ALASKA,ALASKA,2010,131265,2371251
924,2010_ARIZONA,ARIZONA,2010,963517,8812967
925,2010_ARKANSAS,ARKANSAS,2010,474897,5520387
926,2010_CALIFORNIA,CALIFORNIA,2010,6213958,71227111
927,2010_COLORADO,COLORADO,2010,825242,8914338
928,2010_CONNECTICUT,CONNECTICUT,2010,534800,9542108
929,2010_DELAWARE,DELAWARE,2010,117628,1758988
932,2010_FLORIDA,FLORIDA,2010,2627390,27267009
933,2010_GEORGIA,GEORGIA,2010,1660643,17834488
934,2010_HAWAII,HAWAII,2010,180196,2215458
935,2010_IDAHO,IDAHO,2010,266613,2098737
936,2010_ILLINOIS,ILLINOIS,2010,2098401,28560306
937,2010_INDIANA,INDIANA,2010,1026053,11502534
938,2010_IOWA,IOWA,2010,491255,5941449
939,2010_KANSAS,KANSAS,2010,471406,5979429
940,2010_KENTUCKY,KENTUCKY,2010,679901,7092071
941,2010_LOUISIANA,LOUISIANA,2010,663802,8125021
942,2010_MAINE,MAINE,2010,187634,2680693
943,2010_MARYLAND,MARYLAND,2010,848252,13205691
944,2010_MASSACHUSETTS,MASSACHUSETTS,2010,929569,14857823
945,2010_MICHIGAN,MICHIGAN,2010,1510716,19967017
946,2010_MINNESOTA,MINNESOTA,2010,799615,10564774
947,2010_MISSISSIPPI,MISSISSIPPI,2010,491651,4504257
948,2010_MISSOURI,MISSOURI,2010,897348,10139784
949,2010_MONTANA,MONTANA,2010,141693,1642886
950,2010_NEBRASKA,NEBRASKA,2010,294948,3640199
951,2010_NEVADA,NEVADA,2010,423859,4260869
952,2010_NEW HAMPSHIRE,NEW HAMPSHIRE,2010,196648,2856965
953,2010_NEW JERSEY,NEW JERSEY,2010,1369553,26736651
954,2010_NEW MEXICO,NEW MEXICO,2010,331436,3814058
955,2010_NEW YORK,NEW YORK,2010,2697357,60067253
956,2010_NORTH CAROLINA,NORTH CAROLINA,2010,1444409,14162497
957,2010_NORTH DAKOTA,NORTH DAKOTA,2010,94997,1267426
958,2010_OHIO,OHIO,2010,1669748,22701333
959,2010_OKLAHOMA,OKLAHOMA,2010,653592,5971651
960,2010_OREGON,OREGON,2010,560239,6398065
961,2010_PENNSYLVANIA,PENNSYLVANIA,2010,1682887,28231191
962,2010_RHODE ISLAND,RHODE ISLAND,2010,141023,2187163
963,2010_SOUTH CAROLINA,SOUTH CAROLINA,2010,715590,8242553
964,2010_SOUTH DAKOTA,SOUTH DAKOTA,2010,123555,1281632
965,2010_TENNESSEE,TENNESSEE,2010,971414,8760367
966,2010_TEXAS,TEXAS,2010,4728815,53810244
967,2010_UTAH,UTAH,2010,538676,4326951
968,2010_VERMONT,VERMONT,2010,87750,1719870
969,2010_VIRGINIA,VIRGINIA,2010,1244673,14919831
970,2010_WASHINGTON,WASHINGTON,2010,1034735,11820814
971,2010_WEST VIRGINIA,WEST VIRGINIA,2010,281828,3484593
972,2010_WISCONSIN,WISCONSIN,2010,864898,11116821
973,2010_WYOMING,WYOMING,2010,87379,1696177
974,2011_ALABAMA,ALABAMA,2011,746933,7411768
975,2011_ALASKA,ALASKA,2011,131704,2443898
976,2011_ARIZONA,ARIZONA,2011,946571,8610417
977,2011_ARKANSAS,ARKANSAS,2011,475551,5669431
978,2011_CALIFORNIA,CALIFORNIA,2011,6202604,69847705
979,2011_COLORADO,COLORADO,2011,834832,8676451
980,2011_CONNECTICUT,CONNECTICUT,2011,530132,9439182
981,2011_DELAWARE,DELAWARE,2011,119878,1808905
983,2011_FLORIDA,FLORIDA,2011,2636404,26991946
984,2011_GEORGIA,GEORGIA,2011,1666039,17187481
985,2011_HAWAII,HAWAII,2011,179601,2259104
986,2011_IDAHO,IDAHO,2011,265713,1960818
987,2011_ILLINOIS,ILLINOIS,2011,2072114,28525858
988,2011_INDIANA,INDIANA,2011,1023220,11113533
989,2011_IOWA,IOWA,2011,493493,6057294
990,2011_KANSAS,KANSAS,2011,482692,5662146
991,2011_KENTUCKY,KENTUCKY,2011,672958,7253850
992,2011_LOUISIANA,LOUISIANA,2011,665109,8218870
993,2011_MAINE,MAINE,2011,186835,2728535
994,2011_MARYLAND,MARYLAND,2011,851971,13247697
995,2011_MASSACHUSETTS,MASSACHUSETTS,2011,924903,15150898
996,2011_MICHIGAN,MICHIGAN,2011,1455966,18469948
997,2011_MINNESOTA,MINNESOTA,2011,798891,10612480
998,2011_MISSISSIPPI,MISSISSIPPI,2011,490526,4345783
999,2011_MISSOURI,MISSOURI,2011,896702,9842505
1000,2011_MONTANA,MONTANA,2011,141529,1655584
1001,2011_NEBRASKA,NEBRASKA,2011,297659,3676326
1002,2011_NEVADA,NEVADA,2011,429610,4258855
1003,2011_NEW HAMPSHIRE,NEW HAMPSHIRE,2011,189275,3001244
1004,2011_NEW JERSEY,NEW JERSEY,2011,1399409,25716298
1005,2011_NEW MEXICO,NEW MEXICO,2011,331373,3694437
1006,2011_NEW YORK,NEW YORK,2011,2677412,59446908
1007,2011_NORTH CAROLINA,NORTH CAROLINA,2011,1448117,13767024
1008,2011_NORTH DAKOTA,NORTH DAKOTA,2011,96255,1312226
1009,2011_OHIO,OHIO,2011,1655534,23010396
1010,2011_OKLAHOMA,OKLAHOMA,2011,658163,5644988
1011,2011_OREGON,OREGON,2011,559631,6317635
1012,2011_PENNSYLVANIA,PENNSYLVANIA,2011,1670854,28810721
1013,2011_RHODE ISLAND,RHODE ISLAND,2011,139157,2198940
1014,2011_SOUTH CAROLINA,SOUTH CAROLINA,2011,713511,7961448
1015,2011_SOUTH DAKOTA,SOUTH DAKOTA,2011,125613,1350617
1016,2011_TENNESSEE,TENNESSEE,2011,986382,8961443
1017,2011_TEXAS,TEXAS,2011,4800196,52691826
1018,2011_UTAH,UTAH,2011,545395,4195916
1019,2011_VERMONT,VERMONT,2011,86982,1722515
1020,2011_VIRGINIA,VIRGINIA,2011,1250852,14675815
1021,2011_WASHINGTON,WASHINGTON,2011,1042979,11928408
1022,2011_WEST VIRGINIA,WEST VIRGINIA,2011,282130,3670119
1023,2011_WISCONSIN,WISCONSIN,2011,864251,11440718
1024,2011_WYOMING,WYOMING,2011,88165,1656850
1025,2012_ALABAMA,ALABAMA,2012,744621,7222161
1026,2012_ALASKA,ALASKA,2012,130771,2483320
1027,2012_ARIZONA,ARIZONA,2012,942738,8054662
1028,2012_ARKANSAS,ARKANSAS,2012,475671,5299969
1029,2012_CALIFORNIA,CALIFORNIA,2012,6203034,70191877
1030,2012_COLORADO,COLORADO,2012,843120,8472536
1031,2012_CONNECTICUT,CONNECTICUT,2012,522451,9791336
1032,2012_DELAWARE,DELAWARE,2012,118624,1915966
1034,2012_FLORIDA,FLORIDA,2012,2658559,25352047
1035,2012_GEORGIA,GEORGIA,2012,1669156,17400209
1036,2012_HAWAII,HAWAII,2012,182706,2344733
1037,2012_IDAHO,IDAHO,2012,267556,1911706
1038,2012_ILLINOIS,ILLINOIS,2012,2071481,29067543
1039,2012_INDIANA,INDIANA,2012,1006627,11351906
1040,2012_IOWA,IOWA,2012,495870,6256926
1041,2012_KANSAS,KANSAS,2012,485591,5615714
1042,2012_KENTUCKY,KENTUCKY,2012,681827,7444529
1043,2012_LOUISIANA,LOUISIANA,2012,665478,8504567
1044,2012_MAINE,MAINE,2012,187247,2625759
1045,2012_MARYLAND,MARYLAND,2012,853778,13212140
1046,2012_MASSACHUSETTS,MASSACHUSETTS,2012,922683,15696061
1047,2012_MICHIGAN,MICHIGAN,2012,1421312,18063824
1048,2012_MINNESOTA,MINNESOTA,2012,799736,10696348
1049,2012_MISSISSIPPI,MISSISSIPPI,2012,490619,4423270
1050,2012_MISSOURI,MISSOURI,2012,893221,9910617
1051,2012_MONTANA,MONTANA,2012,142237,1652537
1052,2012_NEBRASKA,NEBRASKA,2012,300941,3880517
1053,2012_NEVADA,NEVADA,2012,428526,4109706
1054,2012_NEW HAMPSHIRE,NEW HAMPSHIRE,2012,190778,2961684
1055,2012_NEW JERSEY,NEW JERSEY,2012,1330300,26432652
1056,2012_NEW MEXICO,NEW MEXICO,2012,328690,3616691
1057,2012_NEW YORK,NEW YORK,2012,2644029,60216421
1058,2012_NORTH CAROLINA,NORTH CAROLINA,2012,1462172,13418244
1059,2012_NORTH DAKOTA,NORTH DAKOTA,2012,97555,1380563
1060,2012_OHIO,OHIO,2012,1630865,22662376
1061,2012_OKLAHOMA,OKLAHOMA,2012,664200,5594867
1062,2012_OREGON,OREGON,2012,566525,6314092
1063,2012_PENNSYLVANIA,PENNSYLVANIA,2012,1644759,27851918
1064,2012_RHODE ISLAND,RHODE ISLAND,2012,137400,2190431
1065,2012_SOUTH CAROLINA,SOUTH CAROLINA,2012,715744,7948441
1066,2012_SOUTH DAKOTA,SOUTH DAKOTA,2012,127726,1296971
1067,2012_TENNESSEE,TENNESSEE,2012,998638,9256522
1068,2012_TEXAS,TEXAS,2012,4844744,50215314
1069,2012_UTAH,UTAH,2012,553873,4330417
1070,2012_VERMONT,VERMONT,2012,87968,1726321
1071,2012_VIRGINIA,VIRGINIA,2012,1257332,15129464
1072,2012_WASHINGTON,WASHINGTON,2012,1044856,12187889
1073,2012_WEST VIRGINIA,WEST VIRGINIA,2012,282088,3536971
1074,2012_WISCONSIN,WISCONSIN,2012,863314,10724377
1075,2012_WYOMING,WYOMING,2012,89994,1670728
1076,2013_ALABAMA,ALABAMA,2013,744548,7487741
1077,2013_ALASKA,ALASKA,2013,131091,2665933
1078,2013_ARIZONA,ARIZONA,2013,941726,7600581
1079,2013_ARKANSAS,ARKANSAS,2013,477716,5226339
1080,2013_CALIFORNIA,CALIFORNIA,2013,6208733,69727119
1081,2013_COLORADO,COLORADO,2013,851063,8699125
1082,2013_CONNECTICUT,CONNECTICUT,2013,517812,9758850
1083,2013_DELAWARE,DELAWARE,2013,118685,1924626
1085,2013_FLORIDA,FLORIDA,2013,2680074,25245400
1086,2013_GEORGIA,GEORGIA,2013,1682620,17317504
