,year_state,state,year,enrollment,total_expenditure
1172,2014_VERMONT,VERMONT,2014,87990,1876197
1173,2014_VIRGINIA,VIRGINIA,2014,1273211,15690444
1174,2014_WASHINGTON,WASHINGTON,2014,1057773,12806300
1175,2014_WEST VIRGINIA,WEST VIRGINIA,2014,280265,3499873
1176,2014_WISCONSIN,WISCONSIN,2014,865119,11255186
1177,2014_WYOMING,WYOMING,2014,92732,1775999
1178,2015_ALABAMA,ALABAMA,2015,734974,7501799
1179,2015_ALASKA,ALASKA,2015,130755,2968341
1180,2015_ARIZONA,ARIZONA,2015,944978,7902600
1181,2015_ARKANSAS,ARKANSAS,2015,479682,5350543
1182,2015_CALIFORNIA,CALIFORNIA,2015,6226523,78365958
1183,2015_COLORADO,COLORADO,2015,872320,9557682
1184,2015_CONNECTICUT,CONNECTICUT,2015,505366,10542667
1185,2015_DELAWARE,DELAWARE,2015,121845,1975093
1187,2015_FLORIDA,FLORIDA,2015,2743641,27277049
1188,2015_GEORGIA,GEORGIA,2015,1717805,18501103
1189,2015_HAWAII,HAWAII,2015,182384,2521004
1190,2015_IDAHO,IDAHO,2015,274131,2029520
1191,2015_ILLINOIS,ILLINOIS,2015,2047123,32410033
1192,2015_INDIANA,INDIANA,2015,1004215,11378564
1193,2015_IOWA,IOWA,2015,505311,6772654
1194,2015_KANSAS,KANSAS,2015,496920,6175724
1195,2015_KENTUCKY,KENTUCKY,2015,688475,7554887
1196,2015_LOUISIANA,LOUISIANA,2015,661015,8437263
1197,2015_MAINE,MAINE,2015,176176,2596180
1198,2015_MARYLAND,MARYLAND,2015,874108,13882823
1199,2015_MASSACHUSETTS,MASSACHUSETTS,2015,916130,16972319
1200,2015_MICHIGAN,MICHIGAN,2015,1345009,17742903
1201,2015_MINNESOTA,MINNESOTA,2015,807044,11969872
1202,2015_MISSISSIPPI,MISSISSIPPI,2015,490189,4624539
1203,2015_MISSOURI,MISSOURI,2015,892779,10540353
1204,2015_MONTANA,MONTANA,2015,144447,1804841
1205,2015_NEBRASKA,NEBRASKA,2015,312281,4283846
1206,2015_NEVADA,NEVADA,2015,438948,4183085
1207,2015_NEW HAMPSHIRE,NEW HAMPSHIRE,2015,183039,3044720
1208,2015_NEW JERSEY,NEW JERSEY,2015,1339230,28809725
1209,2015_NEW MEXICO,NEW MEXICO,2015,326297,3846641
1210,2015_NEW YORK,NEW YORK,2015,2631532,65094591
1211,2015_NORTH CAROLINA,NORTH CAROLINA,2015,1465031,14060699
1212,2015_NORTH DAKOTA,NORTH DAKOTA,2015,106061,1804762
1213,2015_OHIO,OHIO,2015,1600222,22561728
1214,2015_OKLAHOMA,OKLAHOMA,2015,671715,6184819
1215,2015_OREGON,OREGON,2015,570376,7011609
1216,2015_PENNSYLVANIA,PENNSYLVANIA,2015,1589429,29690645
1217,2015_RHODE ISLAND,RHODE ISLAND,2015,134574,2326473
1218,2015_SOUTH CAROLINA,SOUTH CAROLINA,2015,737401,8783362
1219,2015_SOUTH DAKOTA,SOUTH DAKOTA,2015,132836,1464781
1220,2015_TENNESSEE,TENNESSEE,2015,994530,9562527
1221,2015_TEXAS,TEXAS,2015,5004866,56255791
1222,2015_UTAH,UTAH,2015,573913,4537962
1223,2015_VERMONT,VERMONT,2015,85184,1969415
1224,2015_VIRGINIA,VIRGINIA,2015,1279867,16113212
1225,2015_WASHINGTON,WASHINGTON,2015,1072359,13630138
1226,2015_WEST VIRGINIA,WEST VIRGINIA,2015,279565,3466981
1227,2015_WISCONSIN,WISCONSIN,2015,861813,11553677
1228,2015_WYOMING,WYOMING,2015,93867,1942406
1229,2016_ALABAMA,ALABAMA,2016,734652,7708845
1230,2016_ALASKA,ALASKA,2016,132477,2623014
1231,2016_ARIZONA,ARIZONA,2016,938274,7987011
1232,2016_ARKANSAS,ARKANSAS,2016,479177,5434193
1233,2016_CALIFORNIA,CALIFORNIA,2016,6217031,85320133
1234,2016_COLORADO,COLORADO,2016,880678,9878524
1235,2016_CONNECTICUT,CONNECTICUT,2016,499494,10826431
1236,2016_DELAWARE,DELAWARE,2016,121225,2041952
1238,2016_FLORIDA,FLORIDA,2016,2776933,27945116
1239,2016_GEORGIA,GEORGIA,2016,1727085,19158388
1240,2016_HAWAII,HAWAII,2016,181995,2733094
1241,2016_IDAHO,IDAHO,2016,274849,2100980
1242,2016_ILLINOIS,ILLINOIS,2016,2030717,33037244
1243,2016_INDIANA,INDIANA,2016,1002696,11535287
1244,2016_IOWA,IOWA,2016,508014,6972412
1245,2016_KANSAS,KANSAS,2016,495545,6134836
1246,2016_KENTUCKY,KENTUCKY,2016,686440,7786281
1247,2016_LOUISIANA,LOUISIANA,2016,660561,8248660
1248,2016_MAINE,MAINE,2016,179879,2706103
1249,2016_MARYLAND,MARYLAND,2016,879196,13992191
1250,2016_MASSACHUSETTS,MASSACHUSETTS,2016,921029,17037880
1251,2016_MICHIGAN,MICHIGAN,2016,1335713,18001445
1252,2016_MINNESOTA,MINNESOTA,2016,811157,12848946
1253,2016_MISSISSIPPI,MISSISSIPPI,2016,486245,4631356
1254,2016_MISSOURI,MISSOURI,2016,891554,10719882
1255,2016_MONTANA,MONTANA,2016,145240,1879789
1256,2016_NEBRASKA,NEBRASKA,2016,315542,4640422
1257,2016_NEVADA,NEVADA,2016,441623,4374249
1258,2016_NEW HAMPSHIRE,NEW HAMPSHIRE,2016,179682,3124778
1259,2016_NEW JERSEY,NEW JERSEY,2016,1364473,29665476
1260,2016_NEW MEXICO,NEW MEXICO,2016,319861,3729397
1261,2016_NEW YORK,NEW YORK,2016,2590945,68282026
1262,2016_NORTH CAROLINA,NORTH CAROLINA,2016,1462036,14207389
1263,2016_NORTH DAKOTA,NORTH DAKOTA,2016,108384,1963630
1264,2016_OHIO,OHIO,2016,1595024,23352516
1265,2016_OKLAHOMA,OKLAHOMA,2016,672777,6184152
1266,2016_OREGON,OREGON,2016,574252,7501954
1267,2016_PENNSYLVANIA,PENNSYLVANIA,2016,1572593,30925177
1268,2016_RHODE ISLAND,RHODE ISLAND,2016,133856,2358654
1269,2016_SOUTH CAROLINA,SOUTH CAROLINA,2016,743320,9187299
1270,2016_SOUTH DAKOTA,SOUTH DAKOTA,2016,134045,1475864
1271,2016_TENNESSEE,TENNESSEE,2016,999265,9680512
1272,2016_TEXAS,TEXAS,2016,5053291,59314884
1273,2016_UTAH,UTAH,2016,580215,4923657
1274,2016_VERMONT,VERMONT,2016,87974,2082696
1275,2016_VIRGINIA,VIRGINIA,2016,1283493,16497520
1276,2016_WASHINGTON,WASHINGTON,2016,1083973,15253296
1277,2016_WEST VIRGINIA,WEST VIRGINIA,2016,276764,3366566
1278,2016_WISCONSIN,WISCONSIN,2016,857736,11787535
1279,2016_WYOMING,WYOMING,2016,94511,2034229
