,state,year,prisoner_count
461,ALASKA,2010,5369
462,ARIZONA,2010,40130
463,ARKANSAS,2010,14192
464,CALIFORNIA,2010,162821
465,COLORADO,2010,22752
466,CONNECTICUT,2010,18629
467,DELAWARE,2010,6378
468,FLORIDA,2010,102070
469,GEORGIA,2010,52794
470,HAWAII,2010,5294
471,IDAHO,2010,7235
472,ILLINOIS,2010,48418
473,INDIANA,2010,27273
474,IOWA,2010,9457
475,KANSAS,2010,9055
476,KENTUCKY,2010,14501
477,LOUISIANA,2010,19008
478,MAINE,2010,1954
479,MARYLAND,2010,22856
480,MASSACHUSETTS,2010,11162
481,MICHIGAN,2010,44113
482,MINNESOTA,2010,9397
483,MISSISSIPPI,2010,16454
484,MISSOURI,2010,30577
485,MONTANA,2010,3137
486,NEBRASKA,2010,4608
487,NEVADA,2010,12192
488,NEW HAMPSHIRE,2010,2617
489,NEW JERSEY,2010,24488
490,NEW MEXICO,2010,6659
491,NEW YORK,2010,56420
492,NORTH CAROLINA,2010,40375
493,NORTH DAKOTA,2010,1416
494,OHIO,2010,51709
495,OKLAHOMA,2010,24147
496,OREGON,2010,13859
497,PENNSYLVANIA,2010,48087
498,RHODE ISLAND,2010,3159
499,SOUTH CAROLINA,2010,23009
500,SOUTH DAKOTA,2010,3393
501,TENNESSEE,2010,20037
502,TEXAS,2010,160242
503,UTAH,2010,5442
504,VERMONT,2010,2079
505,VIRGINIA,2010,31911
506,WASHINGTON,2010,17028
507,WEST VIRGINIA,2010,5072
508,WISCONSIN,2010,22033
509,WYOMING,2010,2092
511,ALABAMA,2011,26813
512,ALASKA,2011,6216
513,ARIZONA,2011,39949
514,ARKANSAS,2011,14090
515,CALIFORNIA,2011,147578
516,COLORADO,2011,21862
517,CONNECTICUT,2011,17877
518,DELAWARE,2011,6546
519,FLORIDA,2011,100861
520,GEORGIA,2011,52844
521,HAWAII,2011,5454
522,IDAHO,2011,7470
523,ILLINOIS,2011,48427
524,INDIANA,2011,27402
525,IOWA,2011,9115
526,KANSAS,2011,9330
527,KENTUCKY,2011,14001
528,LOUISIANA,2011,18844
529,MAINE,2011,1978
530,MARYLAND,2011,23001
531,MASSACHUSETTS,2011,11467
532,MICHIGAN,2011,42904
533,MINNESOTA,2011,9309
534,MISSISSIPPI,2011,15390
535,MISSOURI,2011,30969
536,MONTANA,2011,3125
537,NEBRASKA,2011,4657
538,NEVADA,2011,12159
539,NEW HAMPSHIRE,2011,2423
540,NEW JERSEY,2011,23642
541,NEW MEXICO,2011,6687
542,NEW YORK,2011,55196
543,NORTH CAROLINA,2011,39662
544,NORTH DAKOTA,2011,1385
545,OHIO,2011,50961
546,OKLAHOMA,2011,23750
547,OREGON,2011,13728
548,PENNSYLVANIA,2011,49710
549,RHODE ISLAND,2011,3032
550,SOUTH CAROLINA,2011,22363
551,SOUTH DAKOTA,2011,3562
552,TENNESSEE,2011,19831
553,TEXAS,2011,159956
554,UTAH,2011,5294
555,VERMONT,2011,2053
556,VIRGINIA,2011,30531
557,WASHINGTON,2011,17109
558,WEST VIRGINIA,2011,5149
559,WISCONSIN,2011,22388
560,WYOMING,2011,2162
562,ALABAMA,2012,26768
563,ALASKA,2012,6308
564,ARIZONA,2012,40013
565,ARKANSAS,2012,14043
566,CALIFORNIA,2012,132935
567,COLORADO,2012,20328
568,CONNECTICUT,2012,17164
569,DELAWARE,2012,6730
570,FLORIDA,2012,99835
571,GEORGIA,2012,55178
572,HAWAII,2012,5297
573,IDAHO,2012,7715
574,ILLINOIS,2012,49348
575,INDIANA,2012,28034
576,IOWA,2012,8735
577,KANSAS,2012,9505
578,KENTUCKY,2012,12998
579,LOUISIANA,2012,18601
580,MAINE,2012,1977
581,MARYLAND,2012,21810
582,MASSACHUSETTS,2012,11127
583,MICHIGAN,2012,43594
584,MINNESOTA,2012,9421
585,MISSISSIPPI,2012,15791
586,MISSOURI,2012,31205
587,MONTANA,2012,3095
588,NEBRASKA,2012,4721
589,NEVADA,2012,12594
590,NEW HAMPSHIRE,2012,2568
591,NEW JERSEY,2012,23050
592,NEW MEXICO,2012,6640
593,NEW YORK,2012,54058
594,NORTH CAROLINA,2012,37378
595,NORTH DAKOTA,2012,1413
596,OHIO,2012,50872
597,OKLAHOMA,2012,24370
598,OREGON,2012,14123
599,PENNSYLVANIA,2012,50228
600,RHODE ISLAND,2012,3042
601,SOUTH CAROLINA,2012,21867
602,SOUTH DAKOTA,2012,3596
603,TENNESSEE,2012,19817
604,TEXAS,2012,155195
605,UTAH,2012,5309
606,VERMONT,2012,2034
607,VIRGINIA,2012,29708
608,WASHINGTON,2012,16919
609,WEST VIRGINIA,2012,5335
610,WISCONSIN,2012,22419
611,WYOMING,2012,2187
613,ALABAMA,2013,26825
614,ALASKA,2013,5081
615,ARIZONA,2013,41031
616,ARKANSAS,2013,14295
617,CALIFORNIA,2013,134339
618,COLORADO,2013,20184
619,CONNECTICUT,2013,17319
620,DELAWARE,2013,6798
621,FLORIDA,2013,100940
622,GEORGIA,2013,53701
623,HAWAII,2013,5173
624,IDAHO,2013,7219
625,ILLINOIS,2013,48653
626,INDIANA,2013,28495
627,IOWA,2013,8707
628,KANSAS,2013,9610
629,KENTUCKY,2013,12141
630,LOUISIANA,2013,18794
631,MAINE,2013,2073
632,MARYLAND,2013,21705
633,MASSACHUSETTS,2013,10622
634,MICHIGAN,2013,43704
635,MINNESOTA,2013,9391
636,MISSISSIPPI,2013,15591
637,MISSOURI,2013,31499
638,MONTANA,2013,3125
639,NEBRASKA,2013,5012
640,NEVADA,2013,12789
641,NEW HAMPSHIRE,2013,2623
642,NEW JERSEY,2013,22263
643,NEW MEXICO,2013,6767
644,NEW YORK,2013,53312
645,NORTH CAROLINA,2013,37176
646,NORTH DAKOTA,2013,1576
647,OHIO,2013,51711
648,OKLAHOMA,2013,25364
649,OREGON,2013,14605
650,PENNSYLVANIA,2013,49971
651,RHODE ISLAND,2013,3168
652,SOUTH CAROLINA,2013,21534
653,SOUTH DAKOTA,2013,3612
654,TENNESSEE,2013,20758
655,TEXAS,2013,155377
656,UTAH,2013,5382
657,VERMONT,2013,2078
658,VIRGINIA,2013,29985
659,WASHINGTON,2013,17760
660,WEST VIRGINIA,2013,5708
661,WISCONSIN,2013,22443
662,WYOMING,2013,2288
664,ALABAMA,2014,26145
665,ALASKA,2014,6323
666,ARIZONA,2014,42136
667,ARKANSAS,2014,15250
668,CALIFORNIA,2014,134430
669,COLORADO,2014,20469
670,CONNECTICUT,2014,16814
671,DELAWARE,2014,6730
672,FLORIDA,2014,100873
673,GEORGIA,2014,52719
674,HAWAII,2014,5390
675,IDAHO,2014,7497
676,ILLINOIS,2014,48278
677,INDIANA,2014,32493
678,IOWA,2014,8845
679,KANSAS,2014,9539
680,KENTUCKY,2014,12114
681,LOUISIANA,2014,18710
682,MAINE,2014,2199
683,MARYLAND,2014,21266
684,MASSACHUSETTS,2014,10447
685,MICHIGAN,2014,43359
686,MINNESOTA,2014,9576
687,MISSISSIPPI,2014,13069
688,MISSOURI,2014,31903
689,MONTANA,2014,3119
690,NEBRASKA,2014,5228
691,NEVADA,2014,12693
692,NEW HAMPSHIRE,2014,2723
693,NEW JERSEY,2014,21394
694,NEW MEXICO,2014,6948
695,NEW YORK,2014,52362
696,NORTH CAROLINA,2014,37348
697,NORTH DAKOTA,2014,1696
698,OHIO,2014,51521
699,OKLAHOMA,2014,26493
700,OREGON,2014,14492
701,PENNSYLVANIA,2014,49174
702,RHODE ISLAND,2014,3133
703,SOUTH CAROLINA,2014,20948
704,SOUTH DAKOTA,2014,3507
705,TENNESSEE,2014,20815
706,TEXAS,2014,154247
707,UTAH,2014,5307
708,VERMONT,2014,1979
709,VIRGINIA,2014,30050
710,WASHINGTON,2014,17180
711,WEST VIRGINIA,2014,5867
712,WISCONSIN,2014,22572
713,WYOMING,2014,2369
715,ALABAMA,2015,25212
716,ALASKA,2015,5247
717,ARIZONA,2015,42204
718,ARKANSAS,2015,15784
719,CALIFORNIA,2015,127815
720,COLORADO,2015,19959
721,CONNECTICUT,2015,16024
722,DELAWARE,2015,6437
723,FLORIDA,2015,99485
724,GEORGIA,2015,52002
725,HAWAII,2015,5413
726,IDAHO,2015,7238
727,ILLINOIS,2015,46240
728,INDIANA,2015,26586
729,IOWA,2015,8864
730,KANSAS,2015,9533
731,KENTUCKY,2015,11959
732,LOUISIANA,2015,18447
733,MAINE,2015,2190
734,MARYLAND,2015,20951
735,MASSACHUSETTS,2015,9493
736,MICHIGAN,2015,42628
737,MINNESOTA,2015,9578
738,MISSISSIPPI,2015,13967
739,MISSOURI,2015,32295
740,MONTANA,2015,3176
741,NEBRASKA,2015,5133
742,NEVADA,2015,13235
743,NEW HAMPSHIRE,2015,2661
744,NEW JERSEY,2015,20294
745,NEW MEXICO,2015,7104
746,NEW YORK,2015,51485
747,NORTH CAROLINA,2015,36888
748,NORTH DAKOTA,2015,1772
749,OHIO,2015,52240
750,OKLAHOMA,2015,27321
751,OREGON,2015,14655
752,PENNSYLVANIA,2015,48846
753,RHODE ISLAND,2015,2982
754,SOUTH CAROLINA,2015,20457
755,SOUTH DAKOTA,2015,3536
756,TENNESSEE,2015,19800
757,TEXAS,2015,152492
758,UTAH,2015,4831
759,VERMONT,2015,1750
760,VIRGINIA,2015,30430
761,WASHINGTON,2015,17222
762,WEST VIRGINIA,2015,5925
763,WISCONSIN,2015,22914
764,WYOMING,2015,2400
766,ALABAMA,2016,23745
767,ALASKA,2016,4378
768,ARIZONA,2016,42248
769,ARKANSAS,2016,15833
770,CALIFORNIA,2016,129416
771,COLORADO,2016,19486
772,CONNECTICUT,2016,15040
773,DELAWARE,2016,6334
774,FLORIDA,2016,98010
775,GEORGIA,2016,53433
776,HAWAII,2016,5182
777,IDAHO,2016,7221
778,ILLINOIS,2016,43616
779,INDIANA,2016,25143
780,IOWA,2016,9049
781,KANSAS,2016,9653
782,KENTUCKY,2016,11867
783,LOUISIANA,2016,15059
784,MAINE,2016,2356
785,MARYLAND,2016,20236
786,MASSACHUSETTS,2016,9038
787,MICHIGAN,2016,41122
788,MINNESOTA,2016,9509
789,MISSISSIPPI,2016,13720
790,MISSOURI,2016,32427
791,MONTANA,2016,3199
792,NEBRASKA,2016,5167
793,NEVADA,2016,13932
794,NEW HAMPSHIRE,2016,2599
795,NEW JERSEY,2016,19458
796,NEW MEXICO,2016,6996
797,NEW YORK,2016,50611
798,NORTH CAROLINA,2016,35970
799,NORTH DAKOTA,2016,1639
800,OHIO,2016,52172
801,OKLAHOMA,2016,26367
802,OREGON,2016,14579
803,PENNSYLVANIA,2016,48287
804,RHODE ISLAND,2016,2887
805,SOUTH CAROLINA,2016,20376
806,SOUTH DAKOTA,2016,3770
807,TENNESSEE,2016,21539
808,TEXAS,2016,151276
809,UTAH,2016,4502
810,VERMONT,2016,1735
811,VIRGINIA,2016,29882
812,WASHINGTON,2016,17228
813,WEST VIRGINIA,2016,5899
814,WISCONSIN,2016,23163
815,WYOMING,2016,2352
