year_state,state,state_abbr,year,ed_enrollment,ed_total_exp_1k,prisoner_count,corr_total_exp_1k,state_population,cost_per_stu,stu_to_pop_percent,cost_per_prisoner,prisoner_to_pop_percent
2008_TEXAS,TEXAS,TX,2008,4581517,50205827,159237,5214563,24326974,10958,18.83,32747,0.65
2009_TEXAS,TEXAS,TX,2009,4647205,53575273,158542,5806689,24782302,11528,18.75,36626,0.64
2010_TEXAS,TEXAS,TX,2010,4728815,53810244,160242,5744841,25253466,11379,18.73,35851,0.63
2011_TEXAS,TEXAS,TX,2011,4800196,52691826,159956,5832698,25631778,10977,18.73,36464,0.62
2012_TEXAS,TEXAS,TX,2012,4844744,50215314,155195,5482193,26060796,10365,18.59,35325,0.6
2013_TEXAS,TEXAS,TX,2013,4897523,50674724,155377,5558371,26505637,10347,18.48,35773,0.59
2014_TEXAS,TEXAS,TX,2014,4949469,53096761,154247,5696663,26956958,10728,18.36,36932,0.57
2015_TEXAS,TEXAS,TX,2015,5004866,56255791,152492,5831665,27469114,11240,18.22,38242,0.56
2016_TEXAS,TEXAS,TX,2016,5053291,59314884,151276,5921011,27904862,11738,18.11,39140,0.54
2006_UTAH,UTAH,UT,2006,496507,3371338,5031,446337,2550063,6790,19.47,88717,0.2
2007_UTAH,UTAH,UT,2007,504079,3618540,5165,476429,2645330,7179,19.06,92242,0.2
2008_UTAH,UTAH,UT,2008,556314,4337917,5132,506695,2736424,7798,20.33,98732,0.19
2009_UTAH,UTAH,UT,2009,532433,4419750,5244,525759,2784572,8301,19.12,100259,0.19
2010_UTAH,UTAH,UT,2010,538676,4326951,5442,499206,2775479,8033,19.41,91732,0.2
2011_UTAH,UTAH,UT,2011,545395,4195916,5294,497248,2814347,7693,19.38,93927,0.19
2012_UTAH,UTAH,UT,2012,553873,4330417,5309,517998,2854871,7818,19.4,97570,0.19
2013_UTAH,UTAH,UT,2013,562315,4584624,5382,514990,2902787,8153,19.37,95687,0.19
2014_UTAH,UTAH,UT,2014,570423,4385896,5307,539588,2942902,7689,19.38,101675,0.18
2015_UTAH,UTAH,UT,2015,573913,4537962,4831,528622,2995919,7907,19.16,109423,0.16
2016_UTAH,UTAH,UT,2016,580215,4923657,4502,526556,3044321,8486,19.06,116960,0.15
2006_VERMONT,VERMONT,VT,2006,90850,1711762,2215,101311,623908,18842,14.56,45739,0.36
2007_VERMONT,VERMONT,VT,2007,89329,1804519,2116,113549,621254,20201,14.38,53662,0.34
2008_VERMONT,VERMONT,VT,2008,87919,1888133,2116,119233,621270,21476,14.15,56348,0.34
2009_VERMONT,VERMONT,VT,2009,86320,1661019,2220,119200,621760,19243,13.88,53694,0.36
2010_VERMONT,VERMONT,VT,2010,87750,1719870,2079,124290,625909,19600,14.02,59784,0.33
2011_VERMONT,VERMONT,VT,2011,86982,1722515,2053,126422,626592,19803,13.88,61579,0.33
2012_VERMONT,VERMONT,VT,2012,87968,1726321,2034,125873,625953,19624,14.05,61884,0.32
2013_VERMONT,VERMONT,VT,2013,89200,1809138,2078,135285,626855,20282,14.23,65103,0.33
2014_VERMONT,VERMONT,VT,2014,87990,1876197,1979,137879,626562,21323,14.04,69671,0.32
2015_VERMONT,VERMONT,VT,2015,85184,1969415,1750,143436,626042,23120,13.61,81963,0.28
2016_VERMONT,VERMONT,VT,2016,87974,2082696,1735,137103,623354,23674,14.11,79022,0.28
2006_VIRGINIA,VIRGINIA,VA,2006,1213616,13481336,30823,1756137,7642884,11108,15.88,56975,0.4
2007_VIRGINIA,VIRGINIA,VA,2007,1220440,14700853,32977,1941376,7712091,12046,15.83,58871,0.43
2008_VIRGINIA,VIRGINIA,VA,2008,1230857,15236306,32585,2080402,7769089,12379,15.84,63845,0.42
2009_VIRGINIA,VIRGINIA,VA,2009,1235064,15510318,30995,2237744,7882590,12558,15.67,72197,0.39
2010_VIRGINIA,VIRGINIA,VA,2010,1244673,14919831,31911,2120072,8023953,11987,15.51,66437,0.4
2011_VIRGINIA,VIRGINIA,VA,2011,1250852,14675815,30531,2147621,8104384,11733,15.43,70342,0.38
2012_VIRGINIA,VIRGINIA,VA,2012,1257332,15129464,29708,2183660,8186628,12033,15.36,73504,0.36
2013_VIRGINIA,VIRGINIA,VA,2013,1264880,15634918,29985,2260559,8270345,12361,15.29,75390,0.36
2014_VIRGINIA,VIRGINIA,VA,2014,1273211,15690444,30050,2410245,8326289,12324,15.29,80208,0.36
2015_VIRGINIA,VIRGINIA,VA,2015,1279867,16113212,30430,2472309,8382993,12590,15.27,81246,0.36
2016_VIRGINIA,VIRGINIA,VA,2016,1283493,16497520,29882,2560724,8414380,12854,15.25,85695,0.36
2006_WASHINGTON,WASHINGTON,WA,2006,1031668,9915617,16827,1413352,6395798,9611,16.13,83993,0.26
2007_WASHINGTON,WASHINGTON,WA,2007,1026121,10682397,16911,1580878,6468424,10410,15.86,93482,0.26
2008_WASHINGTON,WASHINGTON,WA,2008,1029576,11677666,17188,1731706,6549224,11342,15.72,100751,0.26
2009_WASHINGTON,WASHINGTON,WA,2009,1035907,12240632,17255,1730396,6664195,11816,15.54,100284,0.26
2010_WASHINGTON,WASHINGTON,WA,2010,1034735,11820814,17028,1664846,6742950,11424,15.35,97771,0.25
2011_WASHINGTON,WASHINGTON,WA,2011,1042979,11928408,17109,1595452,6823267,11437,15.29,93252,0.25
2012_WASHINGTON,WASHINGTON,WA,2012,1044856,12187889,16919,1559392,6895318,11665,15.15,92168,0.25
2013_WASHINGTON,WASHINGTON,WA,2013,1050901,12097549,17760,1547070,6973742,11512,15.07,87110,0.25
2014_WASHINGTON,WASHINGTON,WA,2014,1057773,12806300,17180,1604255,7061530,12107,14.98,93379,0.24
2015_WASHINGTON,WASHINGTON,WA,2015,1072359,13630138,17222,1677560,7170351,12710,14.96,97408,0.24
2016_WASHINGTON,WASHINGTON,WA,2016,1083973,15253296,17228,1727579,7280934,14072,14.89,100277,0.24
2006_WISCONSIN,WISCONSIN,WI,2006,869596,9779642,22564,1276332,5556506,11246,15.65,56565,0.41
2007_WISCONSIN,WISCONSIN,WI,2007,870584,9988878,22839,1365799,5601640,11474,15.54,59801,0.41
2008_WISCONSIN,WISCONSIN,WI,2008,867929,10545964,22282,1446503,5627967,12151,15.42,64918,0.4
2009_WISCONSIN,WISCONSIN,WI,2009,867035,10880480,22262,1516021,5654774,12549,15.33,68099,0.39
2010_WISCONSIN,WISCONSIN,WI,2010,864898,11116821,22033,1523868,5691659,12853,15.2,69163,0.39
2011_WISCONSIN,WISCONSIN,WI,2011,864251,11440718,22388,1543626,5709843,13238,15.14,68949,0.39
2012_WISCONSIN,WISCONSIN,WI,2012,863314,10724377,22419,1545438,5724554,12422,15.08,68934,0.39
2013_WISCONSIN,WISCONSIN,WI,2013,863737,10845059,22443,1475862,5742953,12556,15.04,65760,0.39
2014_WISCONSIN,WISCONSIN,WI,2014,865119,11255186,22572,1507528,5757564,13010,15.03,66788,0.39
2015_WISCONSIN,WISCONSIN,WI,2015,861813,11553677,22914,1540158,5771337,13406,14.93,67215,0.4
2016_WISCONSIN,WISCONSIN,WI,2016,857736,11787535,23163,1553919,5772917,13743,14.86,67086,0.4
2006_WYOMING,WYOMING,WY,2006,86155,1146527,2035,180162,515004,13308,16.73,88532,0.4
2007_WYOMING,WYOMING,WY,2007,85034,1390344,1927,171491,522830,16350,16.26,88994,0.37
2008_WYOMING,WYOMING,WY,2008,85991,1517325,1704,240259,532668,17645,16.14,140997,0.32
2009_WYOMING,WYOMING,WY,2009,86971,1658156,1743,222267,544270,19066,15.98,127520,0.32
2010_WYOMING,WYOMING,WY,2010,87379,1696177,2092,201723,564554,19412,15.48,96426,0.37
2011_WYOMING,WYOMING,WY,2011,88165,1656850,2162,201929,567356,18793,15.54,93399,0.38
2012_WYOMING,WYOMING,WY,2012,89994,1670728,2187,215414,576626,18565,15.61,98497,0.38
2013_WYOMING,WYOMING,WY,2013,91533,1675477,2288,213000,583223,18305,15.69,93094,0.39
2014_WYOMING,WYOMING,WY,2014,92732,1775999,2369,210034,584153,19152,15.87,88659,0.41
2015_WYOMING,WYOMING,WY,2015,93867,1942406,2400,213887,586107,20693,16.02,89120,0.41
2016_WYOMING,WYOMING,WY,2016,94511,2034229,2352,214564,584910,21524,16.16,91226,0.4
